Initial_temp;Epochs;Time[ms];Distance;Path
gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie geometryczne) (n=17)
1.15302e+07;19599;63.7210;2939
11751120.0000;14693;45.7210;2724
9654514.0000;17789;50.4500;2984
11995072.0000;21809;58.3580;2900
9118280.0000;25261;70.3950;2987
10013538.0000;11315;30.8280;2879
9157404.0000;22874;68.9910;2883
11111321.0000;18733;53.0220;2945
9580868.0000;10713;34.1470;2997
10519853.0000;11549;35.4860;2805
9686734.0000;29876;87.5130;2803
9972112.0000;22194;63.8250;2868
11806354.0000;25635;70.1360;3031
11369082.0000;20663;57.2500;3017
11831670.0000;16211;45.3360;2851
9672925.0000;11895;35.4600;3133
10052662.0000;25806;70.6280;2829
10821341.0000;13943;38.7370;3051
11461139.0000;10142;28.5550;3159
10598102.0000;23041;64.6410;2743
11221790.0000;18796;52.3680;2980
11539388.0000;20405;56.4060;3039
10828245.0000;10646;30.0990;3051
11767230.0000;13000;37.3770;2783
9707447.0000;27263;76.3350;2905
12158474.0000;23539;67.3450;2743
11474948.0000;12558;34.5220;2862
10041155.0000;12073;34.2560;2887
12278148.0000;21296;60.7430;2931
11937536.0000;25241;72.1410;2933
9180419.0000;12511;34.3160;3027
9334615.0000;12913;36.2230;2637
9366835.0000;22806;64.4280;2926
9962906.0000;23356;65.2730;2795
10874274.0000;12904;38.1000;3094
9691337.0000;16227;45.4330;2914
11164254.0000;11348;31.9150;2963
11233297.0000;26960;74.9310;3013
8209214.0000;13983;39.5610;2672
12515196.0000;23229;64.8290;2925
11339163.0000;31514;85.1040;2893
10975537.0000;16479;44.5470;2815
10338040.0000;13134;36.8660;3131
10195351.0000;11422;32.3870;3045
9755777.0000;14873;42.3240;3006
9730461.0000;32848;92.1580;2725
10183844.0000;21482;62.7430;2804
11670570.0000;20540;59.2700;2813
11758024.0000;12514;37.7010;2824
12057211.0000;19141;58.1980;2967
12192995.0000;17549;52.2700;2944
9279380.0000;29133;84.5750;2481
10517552.0000;12596;34.8800;3018
10552073.0000;20516;57.2750;2877
10317327.0000;15090;41.5460;3113
10575087.0000;12383;35.4810;3108
9636103.0000;21203;57.9220;2856
10222968.0000;12313;34.8170;2995
11624541.0000;11045;30.9810;2920
11596924.0000;15995;44.7030;2905
11184967.0000;18476;51.6890;2826
9909973.0000;13584;39.0770;2938
8275955.0000;12713;35.2920;3003
9544045.0000;13149;36.2620;3083
10379466.0000;22266;67.9090;3032
10437001.0000;20993;68.5660;3067
12439249.0000;16855;52.7040;3000
10034251.0000;10933;34.2970;2962
11594623.0000;16055;49.8990;2943
9827122.0000;17502;51.7120;3040
11447331.0000;19626;57.0150;2747
10464619.0000;11321;31.8400;2969
10071073.0000;10024;29.5520;3046
10025045.0000;10569;29.7080;2925
8793778.0000;18097;51.0840;2810
9481906.0000;10765;31.5010;2953
10634925.0000;28709;83.2930;2877
9348423.0000;32980;91.0460;2977
12057211.0000;20243;58.5860;3052
12190694.0000;21936;62.5840;2728
10289710.0000;13321;39.8990;3046
12031895.0000;12793;35.1150;2982
11647555.0000;15871;43.5510;3058
11854685.0000;21156;58.9690;2879
12163077.0000;10363;28.7410;2906
8835204.0000;17477;51.9590;3025
12871918.0000;25307;71.2380;2749
11327656.0000;25099;70.9880;2722
11677474.0000;13217;40.9900;2996
10547470.0000;12033;35.6890;3016
9967509.0000;11211;32.6740;2943
11654460.0000;19189;54.0930;2995
8437056.0000;18039;51.9410;3134
11709694.0000;15309;42.9830;2969
10529059.0000;22833;61.6100;2953
10547470.0000;17321;47.5230;2798
11290833.0000;12181;35.0830;3103
9458892.0000;22691;65.7870;2800
10025045.0000;16265;46.9490;2800
11155049.0000;16988;48.2570;3055

gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (3 zamiana) (chlodzenie geometryczne) (n=17)
10087184.0000;20608;86.7440;2746
11329958.0000;13666;58.4420;2972
10646432.0000;11103;48.2470;2986
10837451.0000;11733;50.8210;2774
11249407.0000;17203;135.1120;2747
10881178.0000;18885;80.6980;2967
9916877.0000;11460;47.7240;2636
10600403.0000;20036;82.4040;2857
11873096.0000;20108;94.6490;2956
