Initial_temp;Epochs;Time[ms];Distance;Path
gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie geometryczne) (n=17)
618195;22618;72.6350;2843
575911.0000;19728;54.1200;2990
592095.0000;32022;89.2370;2683
465812.0000;13314;43.5460;2910
495331.0000;19184;56.9530;2986
519152.0000;17649;51.9740;3099
483478.0000;19657;53.8010;3097
472651.0000;22438;61.1650;2958
522001.0000;23001;63.8220;2709
496699.0000;22624;61.7130;3094
504563.0000;12901;35.8980;2924
540465.0000;12278;34.0870;2867
508324.0000;17097;47.7520;3086
495787.0000;15956;45.6610;2946
536704.0000;29539;87.0120;2570
456352.0000;16355;46.5400;2993
497155.0000;13756;38.8770;3154
417373.0000;18744;51.8930;2824
506957.0000;17681;53.3760;2896
475500.0000;16904;47.2700;3012
534766.0000;15301;42.8430;2695
545138.0000;12692;36.1230;2782
550381.0000;16164;46.1170;2861
560297.0000;15742;44.7590;2666
607368.0000;17423;47.9480;2898
534083.0000;12782;36.8150;2961
573632.0000;15298;44.8360;3099
557903.0000;19598;55.2650;2849
548329.0000;25394;69.7400;2878
548557.0000;13445;37.8200;2930
458062.0000;12575;36.5350;2929
505817.0000;13314;37.4630;2916
548101.0000;12958;37.1470;2837
497839.0000;16164;44.2140;2975
594603.0000;12041;33.8580;3160
565084.0000;18848;55.6570;2971
579786.0000;10727;32.8470;3171
509464.0000;10567;30.6410;3029
475500.0000;32390;88.4410;2414
496813.0000;22397;62.8010;2972
596540.0000;19570;53.5550;2867
450084.0000;19042;53.9280;2687
576025.0000;23969;68.2530;2867
395718.0000;13503;39.4210;2903
536362.0000;21346;60.3410;3072
562462.0000;11461;33.5970;2921
568959.0000;10615;29.8050;2954
612725.0000;13357;38.7710;2992
587878.0000;21158;58.7690;3010
410193.0000;11531;34.1920;3009
522913.0000;15900;45.4580;2874
500232.0000;14948;42.5940;3047
535336.0000;27180;76.7290;2618
600643.0000;10356;30.2920;3219
486783.0000;18738;53.2230;2999
475842.0000;21149;64.4450;2944
444613.0000;11373;35.3200;3039
593577.0000;21691;64.2640;3010
608166.0000;10997;30.7110;3185
558929.0000;18671;51.7890;2817
484846.0000;13597;40.9250;3100
504107.0000;12262;34.6450;2872
587764.0000;19945;60.6870;2858
522571.0000;11768;34.7150;3084
535222.0000;19201;52.6590;2947
447576.0000;14719;41.1220;2740
515847.0000;10605;29.4860;2880
555738.0000;17099;47.6660;3021
611357.0000;12683;35.6600;3039
428998.0000;11625;33.0150;2867
512883.0000;11336;32.6460;2895
448602.0000;17373;51.3710;2950
533741.0000;29235;83.2610;3084
501372.0000;12921;36.2810;3142
525535.0000;11036;31.0150;3145
517784.0000;13712;38.9690;2974
507185.0000;27428;74.4000;2890
527016.0000;12619;36.0900;3002
611813.0000;12606;35.2310;3111
585029.0000;10312;29.6090;3058
512997.0000;20179;55.2720;2714
430252.0000;14773;43.6610;3054
627769.0000;19894;57.5410;2665
608280.0000;19136;54.6720;3098
573746.0000;27029;76.2870;2894
557333.0000;13199;38.0480;3086
480857.0000;12494;35.1860;3010
442789.0000;15810;45.9510;2948
504107.0000;10527;30.2470;3029
540237.0000;11593;34.0130;2792
590044.0000;12038;36.4070;3005
489291.0000;17069;48.5730;2778
528954.0000;18042;52.6760;2769
427859.0000;19809;56.0710;2920
