Initial_temp;Epochs;Time[ms];Distance;Path
tsp_6_1.txt;132;[0 1 2 3 4 5 0]  (2 zamiana) (chlodzenie geometryczne)
24049;830;0.5440;132;[0 1 2 3 4 5, 0]
22339.0000;377;0.5270;154;[0 1 3 2 4 5, 0]
20401.0000;363;0.2780;154;[0 1 3 2 4 5, 0]
23365.0000;433;0.2510;132;[0 1 2 3 4 5, 0]
25074.0000;191;0.3760;154;[0 1 3 2 4 5, 0]
24390.0000;143;0.2660;154;[0 1 3 2 4 5, 0]
24049.0000;186;0.2830;132;[0 1 2 3 4 5, 0]
24049.0000;758;0.4760;132;[0 1 2 3 4 5, 0]
21199.0000;124;0.4170;132;[0 1 2 3 4 5, 0]
20743.0000;126;0.1730;132;[0 1 2 3 4 5, 0]
22795.0000;564;0.2680;132;[0 1 2 3 4 5, 0]
23137.0000;112;0.3840;132;[0 1 2 3 4 5, 0]
15045.0000;100;0.1690;132;[0 1 2 3 4 5, 0]
24960.0000;356;0.2320;132;[0 1 2 3 4 5, 0]
24049.0000;364;0.3270;132;[0 1 2 3 4 5, 0]
22339.0000;128;0.2700;132;[0 1 2 3 4 5, 0]
21883.0000;283;0.2970;154;[0 1 3 2 4 5, 0]
20515.0000;453;0.2350;165;[0 3 1 2 4 5, 0]
24960.0000;635;0.3080;158;[0 1 2 3 5 4, 0]
23137.0000;158;0.1830;132;[0 1 2 3 4 5, 0]
21199.0000;569;0.2520;132;[0 1 2 3 4 5, 0]
22339.0000;120;0.1650;132;[0 1 2 3 4 5, 0]
24049.0000;128;0.2050;165;[0 3 1 2 4 5, 0]
22795.0000;177;0.1780;156;[0 2 1 3 4 5, 0]
22681.0000;954;0.3310;132;[0 1 2 3 4 5, 0]
23479.0000;430;0.2280;132;[0 1 2 3 4 5, 0]
23137.0000;211;0.2470;156;[0 2 1 3 4 5, 0]
21199.0000;196;0.2650;132;[0 1 2 3 4 5, 0]
22681.0000;144;0.2860;132;[0 1 2 3 4 5, 0]
22111.0000;590;0.5390;132;[0 1 2 3 4 5, 0]
20743.0000;185;0.3450;132;[0 1 2 3 4 5, 0]
23137.0000;246;0.3650;132;[0 1 2 3 4 5, 0]
20515.0000;102;0.3510;132;[0 1 2 3 4 5, 0]
18920.0000;168;0.3510;132;[0 1 2 3 4 5, 0]
20515.0000;148;0.3540;132;[0 1 2 3 4 5, 0]
19604.0000;510;0.3590;132;[0 1 2 3 4 5, 0]
21199.0000;163;0.3580;154;[0 1 3 2 4 5, 0]
22339.0000;285;0.3540;156;[0 2 1 3 4 5, 0]
22339.0000;170;0.3520;132;[0 1 2 3 4 5, 0]
18464.0000;336;0.3670;132;[0 1 2 3 4 5, 0]
21199.0000;219;0.3550;154;[0 1 3 2 4 5, 0]
21199.0000;223;0.3720;156;[0 2 1 3 4 5, 0]
22795.0000;106;3.8650;132;[0 1 2 3 4 5, 0]
22453.0000;158;0.6330;132;[0 1 2 3 4 5, 0]
20743.0000;145;2.2240;156;[0 2 1 3 4 5, 0]
24049.0000;304;0.3990;132;[0 1 2 3 4 5, 0]
22111.0000;307;0.4480;156;[0 2 1 3 4 5, 0]
