Time[ms];Distance;Path
burma14.tsp;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0] 
23.7310;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
28.1310;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
27.4870;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
26.8970;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
24.2720;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
26.0730;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
24.7790;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
23.3210;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
27.2390;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]
37.2490;0.0000%;42;[0 1 2 3 4 5 6 7 8 9 10 11 12 13 0]

