Filename;Type;Expected Distance;BestDistance;AvgError[%];AvgTime[ms]
burma14.tsp;TSP;31;32;3.22581;173.62;[7 0 1 13 2 3 4 5 11 6 12 10 8 9]

gr17.tsp;TSP;0;2085;inf;223.906;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15]

gr21.tsp;TSP;0;2707;inf;305.572;[5 7 6 0 11 3 10 19 18 16 9 17 12 13 14 20 1 2 8 4 15]

gr24.tsp;TSP;1272;1272;0.691824;374.42;[4 20 7 23 5 6 2 10 15 0 11 3 22 8 12 13 19 1 14 18 21 17 16 9]

bays29.tsp;TSP;0;2061;inf;523.859;[22 26 7 23 0 27 5 11 8 4 25 28 2 1 20 19 9 12 3 14 13 17 16 21 10 18 15 24 6]

